"CO_ENTIDADE","NO_ENTIDADE","TIPO_ENSINO","NO_ORGAO_REGIONAL","GEO_LONGITUDE","GEO_LATITUDE"
"53007905","EC 34 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1308184","-15.8072183"
"53007913","EC 36 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.0964299","-15.8384758"
"53007930","EC 38 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1351486","-15.8087903"
"53007948","EC 39 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.133196","-15.8141074"
"53007956","EC 40 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1308487","-15.8187995"
"53007964","EC 43 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1103417","-15.844326"
"53007972","CEF 33 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1189625","-15.8400144"
"53007980","EC 45 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1173454","-15.8421329"
"53007999","EC 46 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.11388967","-15.84672625"
"53008006","EC 47 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1243912","-15.8404104"
"53008014","EC 48 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1208716","-15.8445492"
"53008022","EC 50 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.12784233","-15.84288325"
"53008030","EC 52 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1205","-15.8522033"
"53008049","CEF 31 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.13458762","-15.79874712"
"53008057","EC 56 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1366031","-15.7941278"
"53008065","EC 57 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.111941","-15.841982"
"53008073","EC 59 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.10760687","-15.83057944"
"53008090","EC 61 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.14426","-15.80529"
"53008103","EC 62 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.13985333","-15.803845"
"53008111","CEF BOA ESPERANCA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.2465513","-15.8280873"
"53008120","EC CORREGO DAS CORUJAS","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1838353","-15.8367695"
"53008138","EC DO SETOR P NORTE","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1383172","-15.8319069"
"53008146","CED INCRA 09","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.19374","-15.78412"
"53008162","EC LAJES DA JIBOIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.2677531","-15.9180755"
"53008170","EC 64 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.0989074","-15.8181837"
"53008332","EC 31 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1280408","-15.7990536"
"53008340","EC 35 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1289459","-15.8126078"
"53011589","CEF 30 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1379643","-15.7859205"
"53014855","EC 65 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.16056842","-15.80650906"
"53018362","ESCOLA CLASSE JUSCELINO KUBITSCHEK - SOL NASCENTE","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.13200421","-15.83328021"
"53068122","CEF 28 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1394783","-15.8131733"
"53068130","EC 66 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1531184","-15.8182524"
"53068149","CEF 32 DE CEILANDIA","Ensino Fundamental Anos Iniciais","CEILÂNDIA","-48.1237837","-15.8577273"
"53002458","CAIC CARLOS CASTELLO BRANCO","Ensino Fundamental Anos Iniciais","GAMA","-48.05669","-15.99411"
"53002466","CEF PONTE ALTA DO BAIXO","Ensino Fundamental Anos Iniciais","GAMA","-48.1313433","-16.0252782"
"53002474","CED GESNER TEIXEIRA","Ensino Fundamental Anos Iniciais","GAMA","-48.0469389","-16.0487347"
"53002504","CEF 05 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.07850732","-16.01576817"
"53002520","EC 29 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0588624","-16.0403905"
"53002610","CED 06 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.05057005","-16.00734123"
"53002814","EC 01 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0548026","-16.0175591"
"53002822","EC 02 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0719142","-16.0052093"
"53002830","EC 03 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.05100697","-16.01438998"
"53002857","EC 06 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0732739","-16.0117946"
"53002865","EC 07 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.084564","-16.024121"
"53002873","EC 09 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0656876","-16.0305097"
"53002881","EC 10 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.07882743","-16.00804991"
"53002890","EC 12 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0653726","-16.010337"
"53002911","EC 14 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0553677","-16.0269522"
"53002920","EC 15 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.060982","-16.0035264"
"53002938","EC 16 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0822352","-16.0204944"
"53002946","EC 17 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0717382","-16.0312843"
"53002954","EC 18 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.06154","-16.0332634"
"53002962","EC 19 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0508412","-16.0253363"
"53002989","EC 21 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.0554977","-15.9993572"
"53002997","EC 22 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.06795","-16.0223451"
"53003020","EC 28 DO GAMA","Ensino Fundamental Anos Iniciais","GAMA","-48.08309899","-16.00720422"
"53003047","CED ENGENHO DAS LAJES","Ensino Fundamental Anos Iniciais","GAMA","-48.2570815","-16.0419382"
"53003055","EC PONTE ALTA DE CIMA","Ensino Fundamental Anos Iniciais","GAMA","-48.1470394","-16.0475375"
"53003063","CEF PONTE ALTA NORTE","Ensino Fundamental Anos Iniciais","GAMA","-48.0722566","-15.98078278"
"53009380","CED CASA GRANDE","Ensino Fundamental Anos Iniciais","GAMA","-48.09920777","-15.96401333"
"53009398","EC CORREGO BARREIRO","Ensino Fundamental Anos Iniciais","GAMA","-48.1168527","-15.9828679"
"53008391","CEF 01 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9884441","-15.8125964"
"53008405","CEF 04 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9877923","-15.8187853"
"53008413","CEF 05 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.97387072","-15.84336555"
"53008421","EC 08 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.98100978","-15.83929406"
"53008430","CEF 08 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.97860601","-15.82775398"
"53008561","EC 01 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.97478521","-15.81437354"
"53008570","EC 02 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.98377833","-15.81437333"
"53008588","EC 03 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9794868","-15.8194536"
"53008596","EC 05 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.98178011","-15.82297456"
"53008600","EC 06 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9847402","-15.8299477"
"53008618","EC 07 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.96983536","-15.84790644"
"53008626","EC DO SRIA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9593664","-15.8139322"
"53012046","CEF 10 DO GUARA","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9625639","-15.850894"
"53017080","CEF 03 DA ESTRUTURAL","Ensino Fundamental Anos Iniciais","GUARÁ","-47.968502","-15.803796"
"53019377","EC 03 DA ESTRUTURAL","Ensino Fundamental Anos Iniciais","GUARÁ","-47.966867","-15.846566"
"53048008","CED 01 DA ESTRUTURAL","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9970904","-15.7830497"
"53068157","CEF 02 DA ESTRUTURAL","Ensino Fundamental Anos Iniciais","GUARÁ","-47.989404","-15.7861428"
"53068165","EC 02 DA ESTRUTURAL","Ensino Fundamental Anos Iniciais","GUARÁ","-47.9986716","-15.782519"
"53006968","CED AGROURBANO IPE RIACHO FUNDO","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0149527","-15.9474912"
"53006976","CEF TELEBRASILIA","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0059199","-15.8798946"
"53006992","EC AGROVILA II","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0347822","-15.9394254"
"53007000","EC IPE","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9881339","-15.9207458"
"53007018","EC KANEGAE","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9996286","-15.8871801"
"53007026","EC VERDE DO RIACHO FUNDO I","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0144029","-15.884602"
"53007034","CAIC JUSCELINO KUBITSCHEK","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9626655","-15.8773717"
"53007069","CEF METROPOLITANA","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9751202","-15.8817063"
"53007123","EC 03 DO NUCLEO BANDEIRANTE","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9736743","-15.8745385"
"53007131","EC 04 DO NUCLEO BANDEIRANTE","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9654487","-15.8676204"
"53007140","EC 05 DO NUCLEO BANDEIRANTE","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9762044","-15.8728501"
"53009320","EC 01 DA CANDANGOLANDIA","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9511841","-15.8481129"
"53009339","EC 02 DA CANDANGOLANDIA","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9516536","-15.8520791"
"53009460","CED VARGEM BONITA","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-47.9407657","-15.9344132"
"53011015","EC RIACHO FUNDO","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0451868","-15.8868086"
"53012089","EC 02 DO RIACHO FUNDO","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0157625","-15.8817203"
"53013034","CEF 01 DO RIACHO FUNDO II","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0480511","-15.902126"
"53013557","EC 01 DO RIACHO FUNDO II","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0463353","-15.9151714"
"53014863","EC 02 DO RIACHO FUNDO II","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0495967","-15.8965718"
"53068106","CEF LOBO GUARA","Ensino Fundamental Anos Iniciais","NÚCLEO BANDEIRANTE","-48.0388461","-15.9380992"
"53006712","CAIC SANTA PAULINA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.78439516","-15.77829184"
"53006720","CED DO PAD-DF","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.5571896","-16.0097728"
"53006747","EC 01 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.778513","-15.764702"
"53006755","EC 02 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7781873","-15.7637886"
"53006763","EC 03 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7808808","-15.7731233"
"53006771","EC 04 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7762534","-15.7731182"
"53006780","EC 05 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7764818","-15.7666749"
"53006798","EC ALTO INTERLAGOS","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7439689","-15.8266737"
"53006801","EC BOQUEIRAO","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7485839","-15.7854004"
"53006828","EC CAFE SEM TROCO","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.6058072","-15.9191889"
"53006836","EC CAPAO SECO","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.5574544","-15.9630954"
"53006844","EC CARIRU","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.51751771","-15.90638453"
"53006852","EC ITAPETI","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.3808695","-15.9289033"
"53006860","CEF JARDIM II","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.3804884","-16.0169197"
"53006879","EC LAMARAO","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.5008026","-15.9654925"
"53006887","EC NATUREZA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7148853","-15.7524466"
"53006895","EC QUEBRADA DOS NERIS","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.6607291","-15.9620228"
"53006917","EC SOBRADINHO DOS MELOS","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.6940138","-15.796978"
"53012429","CEF 01 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7831632","-15.7793088"
"53014227","CEF 03 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.779366","-15.7648252"
"53014871","EC 01 DE ITAPOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7695749","-15.7451952"
"53017005","EC 06 DO PARANOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7832287","-15.757743"
"53017544","EC COMUNIDADE DE APRENDIZAGEM DO PARANOA - EC CAP","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7877489","-15.7790031"
"53019695","ESCOLA CLASSE 502 DO ITAPOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.780295","-15.733013"
"53068203","EC 02 DO ITAPOA","Ensino Fundamental Anos Iniciais","PARANOÁ","-47.7632907","-15.7398284"
"53005953","CAIC ASSIS CHATEAUBRIAND","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6421751","-15.618146"
"53005970","CEF JUSCELINO KUBITSCHEK","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6880214","-15.6011617"
"53005988","CED PIPIRIPAU II","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6501325","-15.600974"
"53006003","CEF 02 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.656871","-15.6222356"
"53006011","EC MESTRE DARMAS","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6466214","-15.6724033"
"53006020","CEF RIO PRETO","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.4929167","-15.7632847"
"53006038","CEF SAO JOSE","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.37368365","-15.7038426"
"53006046","CED TAQUARA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.5222325","-15.6337783"
"53006054","CED VARZEAS","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.57049811","-15.82102928"
"53006062","CEM 01 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6517688","-15.6197308"
"53006186","EC 01 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6549726","-15.6259391"
"53006194","EC 03 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6462072","-15.6150309"
"53006208","EC 04 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.646526","-15.621035"
"53006216","EC 05 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.65437177","-15.63146653"
"53006224","EC 06 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6468212","-15.6274384"
"53006232","EC 07 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6636745","-15.641802"
"53006240","CEF 08 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.64563383","-15.62129534"
"53006259","EC 09 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6450261","-15.6105075"
"53006267","EC 10 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.65353712","-15.60271922"
"53006291","EC 13 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6422817","-15.6036889"
"53006305","EC 14 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.63229","-15.613655"
"53006313","EC ALTA-MIR","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6811619","-15.6331879"
"53006321","EC APRODARMAS","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.657439","-15.6642033"
"53006364","CEF CERAMICAS REUNIDAS DOM BOSCO","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.3858488","-15.5731203"
"53006372","EC COPERBRAS","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.5458286","-15.761099"
"53006380","EC CORREGO DO MEIO","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.7074632","-15.6955547"
"53006410","EC ESTANCIA DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6700486","-15.6058471"
"53006429","EC ETA 44","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.7297677","-15.5928328"
"53006437","EC FRIGORIFICO INDUSTRIAL","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6253742","-15.6550166"
"53006461","EC MONJOLO","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6862185","-15.5378285"
"53006488","EC NUCLEO RURAL CORREGO DO ATOLEIRO","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6147602","-15.6241717"
"53006496","CED OSORIO BACCHIN","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6303952","-15.5268781"
"53006518","EC PARANA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6454829","-15.6151548"
"53006526","EC PEDRA FUNDAMENTAL","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6725911","-15.6737233"
"53006534","EC RAJADINHA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6387692","-15.6412941"
"53006550","EC SANTOS DUMONT","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.648395","-15.6789656"
"53011490","CEF NOSSA SENHORA FATIMA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6579028","-15.6032041"
"53012011","CED ESTANCIA III","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6866518","-15.6176156"
"53012666","CEF BONSUCESSO","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.585283","-15.505564"
"53012739","EC REINO DAS FLORES","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6025023","-15.6931683"
"53012747","CEF ARAPOANGA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6405193","-15.6405966"
"53013280","EC VALE DO SOL","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6512757","-15.6543435"
"53014278","EC VALE VERDE","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6529467","-15.5378161"
"53014308","CED POMPILIO MARQUES DE SOUZA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6828607","-15.5989796"
"53014316","CED VALE DO AMANHECER","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6566495","-15.679885"
"53019369","CENTRO EDUCACIONAL AGUAS DO CERRADO - CEDAC","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.62369659","-15.64198182"
"53047010","EC 16 DE PLANALTINA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6813184","-15.6198422"
"53047028","EC 01 DO ARAPOANGA","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6359024","-15.6397341"
"53068068","CED DONA AMERICA GUIMARAES","Ensino Fundamental Anos Iniciais","PLANALTINA","-47.6291661","-15.6403607"
