Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC BOA VISTA,53005694,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-205, KM 6 OESTE BOA VISTA. SETOR HABITACIONAL FERCAL SOBRADINHO. 73151-010 Brasília - DF.",(61) 991475516,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5886076,-47.9225259
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC CATINGUEIRO,53005708,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-205 OESTE, KM 13 CATINGUEIRO. SETOR HABITACIONAL FERCAL SOBRADINHO. 73151-010 Brasília - DF.",(61) 31018841,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5635756,-47.9353969
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC CORA CORALINA,53005716,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"FAZENDA PARANOA RODOVIA DF-250 KM 2,5 COND. MANSOES ENTRE LAGOS, S/N FAZENDA PARANOA. REGIAO DOS LAGOS SOBRADINHO. 73255-903 Brasília - DF.",(61) 33308621,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.7291325,-47.7495955
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC CORREGO DO OURO,53005724,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-205, CORREGO DO OURO. SETOR HABITACIONAL FERCAL SOBRADINHO. 73151-010 Brasília - DF.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.5133017,-47.9228869
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC ENGENHO VELHO,53005732,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SETOR HABITACIONAL FERCAL QUADRA 03 AREA ESPECIAL S/N, S/N ENGENHO VELHO. SETOR HABITACIONAL FERCAL SOBRADINHO. 73150-100 Brasília - DF.",(61) 39017975,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.60169722,-47.86920537
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED PROF CARLOS RAMOS MOTA,53005740,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"NUCLEO RURAL LAGO OESTE, 08 DF 001 KM 13, RUA 08. NUCLEO RURAL LAGO OESTE SOBRADINHO. 73100-000 Brasília - DF.",(61) 31018806,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-15.6178586,-47.9506603
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC MORRO DO SANSAO,53005759,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA 45A CONJUNTO F S/N - CONDOMINIO VALE DOS PINHEIROS - PROXIMO AO CEMITERIO, S/N CONDOMINIO VALE DOS PINHEIROS SOBRADINHO II. 73088-350 Brasília - DF.",(61) 31018846,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6195292,-47.8233046
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC RIBEIRAO,53005767,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-205 OESTE KM 18 FAZENDA RIBEIRAO, SETOR HABITACIONAL FERCAL SOBRADINHO. 73151-010 Brasília - DF.",(61) 31018848,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC RUA DO MATO,53005775,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SETOR RUA DO MATO, CHACARA 04 ROD DF 150 KM 11. SETOR HABITACIONAL FERCAL SOBRADINHO. 73150-150 Brasília - DF.",(61) 39017976,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.6111676,-47.8772282
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC SANTA HELENA,53005783,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"RODOVIA DF-440 KM 5,5 CHACARA, 13 N.RURAL 1/SOBRADINHO. REGIAO DOS LAGOS SOBRADINHO. 73252-010 Brasília - DF.",(61) 39017980,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-15.70654803,-47.79911997
