Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,ASSOC DE PAIS E AMIGOS DOS EXCEP - APAE-DF,53000030,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 711/911, ASA NORTE. 70790-115 Brasília - DF.",(61) 993389242,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação de Jovens Adultos,,-15.7556206,-47.8973613
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CEE 02 DE BRASILIA,53000200,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 612 MODULO D, ASA SUL. ASA SUL. 70200-720 Brasília - DF.",(61) 39017608,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.8321632,-47.9080864
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CETEB DE JOVENS E ADULTOS,53000226,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 603, CONJUNTO C. ASA SUL. 70200-630 Brasília - DF.",(61) 32188338,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação de Jovens Adultos,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEJA ASA SUL - CESAS,53000234,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 602, PROJECAO D. ASA SUL. 70200-620 Brasília - DF.",(61) 39012605,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação de Jovens Adultos,,-15.8094245,-47.8821157
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,C EDUCACIONAL DA AUDICAO E LINGUAGEM LUDOVICO PAVONI - CEAL - LP,53000331,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 909 MODULO B, ASA NORTE. 70790-092 Brasília - DF.",(61) 33499944,Privada,Filantrópica,Sim,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.7631769,-47.894996
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO,CEE 01 DE BRASILIA,53000439,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 912, 42/48 CONJUNTO E LOTE. ASA SUL. 70390-120 Brasília - DF.",(61) 39017629,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atendimento Educacional Especializado,-15.8150375,-47.9183525
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO,CEE DE DEFICIENTES VISUAIS - CEEDV,53000714,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 612 L2 SUL, CONJUNTO J AREA ESPECIAL. ASA SUL. 70200-720 Brasília - DF.",(61) 33182630,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atendimento Educacional Especializado,-15.83188879,-47.90836819
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ARVENSE C EDUCACIONAL,53000781,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 914 CONJUNTO F PARTE ESCOLA, ASA NORTE. 70790-143 Brasília - DF.",(61) 33409792,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.74787607,-47.90018818
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC URSINHO FELIZ,53000790,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA EQS 112/312, LOTE C ASA SUL. 70375-450 Brasília - DF.",(61) 33458080,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-15.8235423,-47.9161057
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DA CRIANCA PAO DE SANTO ANTONIO,53000811,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 906 CONJUNTO C, ASA SUL. 70390-060 Brasília - DF.",(61) 32422337,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8055676,-47.9050098
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA INFANTIL CASA DE ISMAEL,53000820,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 913 MODULO G, ASA NORTE. 70790-137 Brasília - DF.",(61) 32732268,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.7492046,-47.9009615
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 01 DE BRASILIA,53000846,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 106, SEM NUMERO AREA ESPECIAL. ASA SUL. 70345-000 Brasília - DF.",(61) 39012511,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8127721,-47.8978548
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 01 DO PLANALTO,53000854,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PACHECO FERNANDES, S/N. VILA PLANALTO. 70804-080 Brasília - DF.",(61) 39018207,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-15.8282444,-47.924538
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 02 DE BRASILIA,53000862,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 107, S/N AREA ESPECIAL. ASA SUL. 70346-000 Brasília - DF.",(61) 33182585,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8152996,-47.9012136
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 03 DE BRASILIA,53000870,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 103, AREA ESPEC AE. ASA SUL. 70342-000 Brasília - DF.",(61) 33182568,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8054062,-47.8914289
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 04 DE BRASILIA,53000889,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 113 AREA ESPECIAL, 0 ASA SUL. 70376-000 Brasília - DF.",(61) 33182641,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.827251,-47.9171199
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 05 DE BRASILIA,53000897,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 408, AE. ASA SUL. 70257-000 Brasília - DF.",(61) 33182652,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.82326,-47.899752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF GAN,53000919,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAN 603, AREA ESP. MODULO H. ASA NORTE. 70830-100 Brasília - DF.",(61) 33182571,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.77606,-47.8736034
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF POLIVALENTE,53000927,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 913, 57/58 ASA SUL. 70390-130 Brasília - DF.",(61) 39017691,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8196172,-47.9231456
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL MAURICIO SALLES DE MELLO,53000960,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHCGN 708 BLOCO C, S/N ASA NORTE. 70740-763 Brasília - DF.",(61) 33405545,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7668805,-47.8926846
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM PAULO FREIRE,53000986,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAN 610, S/N MODULO A. ASA NORTE. 70830-450 Brasília - DF.",(61) 33182624,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-15.7559385,-47.8783258
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM ASA NORTE - CEAN,53001010,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAN 606, S/N L2 NORTE. ASA NORTE. 70830-250 Brasília - DF.",(61) 39016926,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-15.7665057,-47.8750957
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM ELEFANTE BRANCO,53001036,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 908, AREA ESPECIAL. ASA SUL. 70390-080 Brasília - DF.",(61) 39018299,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,Atendimento Educacional Especializado,-15.80862897,-47.90941819
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CED GISNO,53001044,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAN 907, BLOCO A. ASA NORTE. 70790-070 Brasília - DF.",(61) 39017519,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-15.7692689,-47.894654
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL LA SALLE BRASILIA,53001060,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 906 CONJUNTO E, ASA SUL. 70390-060 Brasília - DF.",(61) 34437878,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.8072318,-47.9056406
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL LEONARDO DA VINCI,53001087,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SEPS 703/903, CONJUNTO B. ASA SUL. 70390-039 Brasília - DF.",(61) 32266703,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.8005669,-47.897577
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL LEONARDO DA VINCI - UNID NORTE,53001095,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 914, 0 CONJUNTO I. ASA NORTE. 70790-140 Brasília - DF.",(61) 33401616,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-15.7466109,-47.9007747
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA SALESIANA BRASILIA,53001109,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SEPS 702 BLOCO C, ASA SUL. 70330-730 Brasília - DF.",(61) 21952650,Privada,Filantrópica,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.7996488,-47.8960322
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL SAGRADA FAMILIA,53001192,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 906, ASA NORTE. 70790-060 Brasília - DF.",(61) 32721727,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.77160667,-47.89317167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM SETOR LESTE,53001206,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 611/612, ASA SUL. 70200-710 Brasília - DF.",(61) 39017605,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,Atendimento Educacional Especializado,-15.8312336,-47.9065513
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEM SETOR OESTE,53001214,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 912, MODULO D. ASA SUL. 70390-120 Brasília - DF.",(61) 33182661,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-15.8159148,-47.9197617
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL SIGMA,53001222,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGAS QUADRA, 912 CONJUNTO A. ASA SUL. 70310-500 Brasília - DF.",(61) 37011109,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.81430655,-47.91817098
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C DE EDUC PROFISSIONAL SENAC - PLANO PILOTO,53001249,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SEPS 703/903, ASA SUL. 70390-039 Brasília - DF.",(61) 37719830,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação Profissional,,-15.7997369,-47.89717474
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CIL 01 DE BRASILIA,53001257,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 907/908, 25/26 ASA SUL. 70390-075 Brasília - DF.",(61) 39017619,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.80814948,-47.90885434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF CASEB,53001265,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAS 909, 27/28 BLOCO A. ASA SUL. 70390-090 Brasília - DF.",(61) 33182561,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8116368,-47.911918
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL BATISTA DE BRASILIA,53001281,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 905, 4 ASA SUL. ASA SUL. 70390-050 Brasília - DF.",(61) 32421898,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.80305,-47.90388
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL COR JESU,53001290,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 615 BLOCO G, 110 ASA SUL. 70200-750 Brasília - DF.",(61) 21056800,Privada,Filantrópica,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.83820614,-47.91859562
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL MADRE CARMEN SALLES,53001320,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGAN 604 MODULO D, AVENIDA L2 NORTE. ASA NORTE. 70830-154 Brasília - DF.",(61) 32232863,Privada,Filantrópica,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.77479,-47.87344
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO MARISTA DE BRASILIA EDINF E ENS FUND,53001338,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGA MODULO A, 609 ASA SUL. 70200-690 Brasília - DF.",(61) 34429400,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Fundamental,,-15.8259065,-47.900008
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO MARISTA DE BRASILIA ENSINO FUNDAMENTAL E ENSINO MEDIO,53001346,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGAS QD. 615 MODULO C, ASA SUL. 70200-750 Brasília - DF.",(61) 34456900,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.8370045,-47.91664499
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL MILITAR DE BRASILIA,53001354,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SGAN 902/904, ASA NORTE. 70790-025 Brasília - DF.",(61) 34241000,Federal,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.7806739,-47.8920385
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL SAGRADO CORACAO DE MARIA,53001389,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 702 CONJUNTO C, ASA NORTE. 70710-750 Brasília - DF.",(61) 30315000,Privada,Filantrópica,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.78184558,-47.89008774
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL SANTA ROSA,53001397,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAS 601, ASA SUL. 70200-610 Brasília - DF.",(61) 32242966,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.80704244,-47.88012166
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL SANTA DOROTEIA,53001400,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SGAN 911, CONJUNTO B. ASA NORTE. 70790-110 Brasília - DF.",(61) 32745110,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.7574292,-47.9002243
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CR E PRE-ESCOLA FUNDACAO CABO FRIO,53001419,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SGAN 608 MODULO A, ASA NORTE. 70830-351 Brasília - DF.",(61) 32745176,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-15.7619452,-47.8771605
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRESCA C DE REALIZACAO CRIADORA - ESC DE EDUC BASICA,53001427,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SEPS 703/903 CONJUNTO C, ASA SUL. 70390-039 Brasília - DF.",(61) 32241640,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC DA VILA DO RCG,53001435,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA C AREA ESPECIAL, S/N SMC -VILA DO RCG. SETOR MILITAR URBANO/COMPLEMENTAR. 70631-015 Brasília - DF.",(61) 39017789,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.76258424,-47.95000043
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 102 NORTE,53001443,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 102 AE, ASA NORTE. 70722-000 Brasília - DF.",(61) 33182558,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.7816952,-47.8833627
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 102 SUL,53001451,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 102, AREA ESPECIAL. ASA SUL. 70330-000 Brasília - DF.",(61) 39017581,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8029629,-47.8905611
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 104 NORTE,53001460,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 104, AREA ESPECIAL. ASA NORTE. 70733-000 Brasília - DF.",(61) 39017590,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-15.7751187,-47.8837172
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 106 NORTE,53001478,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 106, S/N AREA ESPECIAL. ASA NORTE. 70742-000 Brasília - DF.",(61) 39017520,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7691803,-47.8840242
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 108 SUL,53001486,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SQS 108, AREA ESPECIAL. ASA SUL. 70347-000 Brasília - DF.",(61) 33182592,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.81711174,-47.90328952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 111 SUL,53001494,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 111, SN ASA SUL. 70374-000 Brasília - DF.",(61) 32182622,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.8231771,-47.9120784
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 113 NORTE,53001508,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 113, S/N AREA ESPECIAL. ASA NORTE. 70763-000 Brasília - DF.",(61) 39017522,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7473584,-47.8906043
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 114 SUL,53001516,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SQS 114, S/N AREA ESPECIAL S/N. ASA SUL. 70377-000 Brasília - DF.",(61) 39012499,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8279352,-47.9196728
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 115 NORTE,53001524,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 115, AREA ESPECIAL. ASA NORTE. 70772-000 Brasília - DF.",(61) 39017523,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7410982,-47.892796
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 204 SUL,53001532,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 204, AREA ESPECIAL S/Nº. ASA SUL. 70234-000 Brasília - DF.",(61) 39011531,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8115374,-47.8917656
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 206 SUL,53001540,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 206, 0 SEM NUMERO. ASA SUL. 70252-000 Brasília - DF.",(61) 33182679,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8163291,-47.8965918
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 209 SUL,53001559,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 209 AREA ESPECIAL, ESCOLA. ASA SUL. 70272-000 Brasília - DF.",(61) 39018139,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8215785,-47.9030536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 214 SUL,53001567,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 214, S/N AREA ESPECIAL. ASA SUL. 70293-000 Brasília - DF.",(61) 39012502,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.8322929,-47.9177738
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 302 NORTE,53001575,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQN 302, AREA ESPEC A/E. ASA NORTE. 70723-000 Brasília - DF.",(61) 39017588,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-15.7820883,-47.8856334
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 304 NORTE,53001583,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SQN 304, AREA ESPECIAL. ASA NORTE. 70736-000 Brasília - DF.",(61) 33182566,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-15.7762794,-47.8862591
